Problem,Folder,Final Error 1,Final Error 2,Hidden Layers,Pinn Info,Batch Size,total_neurons,shape
Bp,simulation561,0.026426615193486214,0.9281491637229919,"[['ELU', 16], ['ELU', 32]]",False,traininig_data/treino_s/,48,funnel
Bp,simulation571,0.05454627797007561,1.0282660722732544,"[['Sigmoid', 16], ['ELU', 128]]",False,traininig_data/treino_s/,144,funnel
Bp,simulation252,0.007300891913473606,1.001328945159912,"[['SiLU', 32], ['ReLU', 32], ['Tanh', 16]]",False,traininig_data/treino_s/,80,bottleneck
Bp,simulation264,0.0048506371676921844,0.9624347686767578,"[['ReLU', 128], ['ReLU', 64], ['LeakyReLU', 16]]",False,traininig_data/treino_s/,208,bottleneck
Bp,simulation586,0.024776842445135117,0.9326452016830444,"[['Sigmoid', 32], ['Sigmoid', 128]]",False,traininig_data/treino_s/,160,funnel
Bp,simulation588,0.012428559362888336,0.971328854560852,"[['LeakyReLU', 32], ['SiLU', 128]]",False,traininig_data/treino_s/,160,funnel
Bp,simulation79,0.00985342264175415,1.0204577445983887,"[['ReLU', 16], ['ReLU', 32], ['ELU', 64]]",False,traininig_data/treino_s/,112,funnel
Bp,simulation430,0.0036375762429088354,0.957952618598938,"[['SiLU', 32], ['Tanh', 64], ['Tanh', 16]]",False,traininig_data/treino_s/,112,diamond
Bp,simulation562,0.010966860689222813,0.94976806640625,"[['Tanh', 32], ['ReLU', 128]]",False,traininig_data/treino_s/,160,funnel
Bp,simulation217,0.005569016560912132,0.9162712693214417,"[['ELU', 128], ['ELU', 32], ['SiLU', 32]]",False,traininig_data/treino_s/,192,bottleneck
Bp,simulation760,0.04122678190469742,0.9151754379272461,"[['Sigmoid', 32], ['ReLU', 16]]",False,traininig_data/treino_s/,48,bottleneck
Bp,simulation206,0.004187760874629021,0.9433005452156067,"[['Tanh', 128], ['Tanh', 32], ['Sigmoid', 32]]",False,traininig_data/treino_s/,192,bottleneck
Bp,simulation719,0.015258724801242352,0.9109278321266174,"[['ReLU', 64], ['LeakyReLU', 16]]",False,traininig_data/treino_s/,80,bottleneck
Bp,simulation104,0.013849371112883091,0.9651700854301453,"[['LeakyReLU', 16], ['Sigmoid', 16], ['Sigmoid', 16]]",False,traininig_data/treino_s/,48,rectangle
Bp,simulation71,0.008757846429944038,0.9557702541351318,"[['LeakyReLU', 16], ['Tanh', 32], ['ELU', 64]]",False,traininig_data/treino_s/,112,funnel
Bp,simulation583,0.020288582891225815,0.9498662948608398,"[['LeakyReLU', 16], ['Sigmoid', 64]]",False,traininig_data/treino_s/,80,funnel
Bp,simulation646,0.023240750655531883,0.9668034911155701,"[['SiLU', 32], ['ReLU', 32]]",False,traininig_data/treino_s/,64,rectangle
Bp,simulation405,0.009205294772982597,0.9511234164237976,"[['Sigmoid', 32], ['SiLU', 64], ['LeakyReLU', 32]]",False,traininig_data/treino_s/,128,diamond
Bp,simulation412,0.008400172926485538,1.0880284309387207,"[['ReLU', 32], ['ReLU', 128], ['ReLU', 32]]",False,traininig_data/treino_s/,192,diamond
Bp,simulation211,0.006916118320077658,0.9813973903656006,"[['SiLU', 64], ['Sigmoid', 64], ['LeakyReLU', 16]]",False,traininig_data/treino_s/,144,bottleneck
Bp,simulation610,0.017606981098651886,0.9277328848838806,"[['LeakyReLU', 32], ['LeakyReLU', 32]]",False,traininig_data/treino_s/,64,rectangle
Bp,simulation692,0.006991420406848192,0.9428330659866333,"[['Tanh', 128], ['Sigmoid', 128]]",False,traininig_data/treino_s/,256,rectangle
Bp,simulation710,0.015624841675162315,0.988571286201477,"[['ReLU', 64], ['ELU', 32]]",False,traininig_data/treino_s/,96,bottleneck
Bp,simulation178,0.010639457032084465,0.9476504325866699,"[['LeakyReLU', 16], ['ELU', 16], ['Tanh', 16]]",False,traininig_data/treino_s/,48,rectangle
Bp,simulation401,0.00557702174410224,0.9859397411346436,"[['SiLU', 32], ['Tanh', 128], ['ReLU', 32]]",False,traininig_data/treino_s/,192,diamond
Bp,simulation696,0.026019947603344917,0.9532161951065063,"[['Sigmoid', 128], ['ELU', 128]]",False,traininig_data/treino_s/,256,rectangle
Bp,simulation109,0.007732233498245478,0.993491530418396,"[['ReLU', 32], ['ReLU', 32], ['LeakyReLU', 32]]",False,traininig_data/treino_s/,96,rectangle
Bp,simulation524,0.03311498463153839,0.9283784627914429,"[['Sigmoid', 32], ['Tanh', 128]]",False,traininig_data/treino_s/,160,funnel
Bp,simulation739,0.04424170404672623,0.9483721852302551,"[['Sigmoid', 64], ['ReLU', 16]]",False,traininig_data/treino_s/,80,bottleneck
Bp,simulation743,0.01588894985616207,0.9797836542129517,"[['Tanh', 128], ['SiLU', 16]]",False,traininig_data/treino_s/,144,bottleneck
Bp,simulation377,0.05108436569571495,0.9603862166404724,"[['Sigmoid', 32], ['Sigmoid', 16], ['ELU', 128]]",False,traininig_data/treino_s/,176,bowtie
Bp,simulation408,0.007246409542858601,0.9439111948013306,"[['ELU', 32], ['Sigmoid', 64], ['ReLU', 32]]",False,traininig_data/treino_s/,128,diamond
Bp,simulation334,0.005947485566139221,0.9519147276878357,"[['SiLU', 128], ['LeakyReLU', 16], ['Sigmoid', 32]]",False,traininig_data/treino_s/,176,bowtie
Bp,simulation552,0.01706361398100853,0.922120213508606,"[['ELU', 32], ['LeakyReLU', 128]]",False,traininig_data/treino_s/,160,funnel
Bp,simulation137,0.002815071726217866,0.9368382692337036,"[['SiLU', 64], ['Sigmoid', 64], ['Sigmoid', 64]]",False,traininig_data/treino_s/,192,rectangle
Bp,simulation607,0.010432523675262928,0.9441084861755371,"[['Sigmoid', 128], ['Sigmoid', 128]]",False,traininig_data/treino_s/,256,rectangle
Bp,simulation159,0.008285189978778362,0.9999067187309265,"[['Tanh', 32], ['ELU', 32], ['ELU', 32]]",False,traininig_data/treino_s/,96,rectangle
Bp,simulation313,0.00791777390986681,0.9259601831436157,"[['Sigmoid', 32], ['SiLU', 16], ['SiLU', 64]]",False,traininig_data/treino_s/,112,bowtie
Bp,simulation95,0.007074613124132156,0.9294620156288147,"[['ELU', 16], ['Sigmoid', 32], ['Tanh', 64]]",False,traininig_data/treino_s/,112,funnel
Bp,simulation665,0.03400002792477608,1.0343682765960693,"[['ReLU', 16], ['ReLU', 16]]",False,traininig_data/treino_s/,32,rectangle
Bp,simulation479,0.007666017860174179,0.9437706470489502,"[['Sigmoid', 64], ['LeakyReLU', 128], ['ELU', 64]]",False,traininig_data/treino_s/,256,diamond
Bp,simulation573,0.011930778622627258,0.9289290308952332,"[['SiLU', 64], ['LeakyReLU', 128]]",False,traininig_data/treino_s/,192,funnel
Bp,simulation611,0.017713282257318497,0.9689708352088928,"[['Tanh', 16], ['Sigmoid', 16]]",False,traininig_data/treino_s/,32,rectangle
Bp,simulation722,0.011433949694037437,0.9834040403366089,"[['ReLU', 128], ['SiLU', 16]]",False,traininig_data/treino_s/,144,bottleneck
Bp,simulation113,0.0045752981677651405,0.9463745355606079,"[['ELU', 64], ['SiLU', 64], ['Sigmoid', 64]]",False,traininig_data/treino_s/,192,rectangle
Bp,simulation609,0.010453524067997932,0.9874128103256226,"[['ReLU', 64], ['Tanh', 64]]",False,traininig_data/treino_s/,128,rectangle
Bp,simulation385,0.004618356470018625,0.9607298374176025,"[['ELU', 64], ['Tanh', 32], ['SiLU', 64]]",False,traininig_data/treino_s/,160,bowtie
Bp,simulation792,0.02807486243546009,0.9620168805122375,"[['Sigmoid', 128], ['ReLU', 16]]",False,traininig_data/treino_s/,144,bottleneck
