u,w,up,wp,ut,wt,error
0.70970905,0.0052614086,0.73916227,0.0087970495,0.709709,0.005261,0.032989327
0.70970905,0.0052614086,0.85535985,0.010793567,0.847174,0.008245,0.0107344305
0.70970905,0.0052614086,0.9663783,0.013116278,0.960521,0.011695,0.0072785662
0.70970905,0.0052614086,1.0397036,0.017435499,1.029336,0.015461,0.012342131
0.70970905,0.0052614086,1.0634443,0.02163878,1.06095,0.01937,0.004762996
0.70970905,0.0052614086,1.0745828,0.025071338,1.072055,0.0233,0.0042991713
0.70970905,0.0052614086,1.0769747,0.027997673,1.073959,0.027192,0.0038214289
0.70970905,0.0052614086,1.0763341,0.031166825,1.072068,0.031023,0.004409969
0.70970905,0.0052614086,1.0739583,0.033960067,1.068653,0.034782,0.0061272234
0.70970905,0.0052614086,1.0703654,0.03663428,1.064628,0.038466,0.0075691417
0.70970905,0.0052614086,1.0663415,0.03973007,1.060357,0.042075,0.008329477
0.70970905,0.0052614086,1.0620058,0.043178275,1.055989,0.04561,0.0084484555
0.70970905,0.0052614086,1.0574673,0.046879977,1.051583,0.049071,0.008075312
0.70970905,0.0052614086,1.0533761,0.049715854,1.047164,0.05246,0.008956261
0.70970905,0.0052614086,1.0492233,0.05267109,1.042741,0.055777,0.009588271
0.70970905,0.0052614086,1.0450461,0.055706125,1.038319,0.059025,0.010045975
0.70970905,0.0052614086,1.0408803,0.05878093,1.033898,0.062203,0.010404397
0.70970905,0.0052614086,1.0367497,0.061859563,1.02948,0.065312,0.010722175
0.70970905,0.0052614086,1.0326622,0.06491451,1.025064,0.068355,0.011038654
0.70970905,0.0052614086,1.0286188,0.067922726,1.02065,0.071332,0.011378057
0.70970905,0.0052614086,1.024622,0.070864365,1.016237,0.074245,0.011765577
0.70970905,0.0052614086,1.0206639,0.073723674,1.011824,0.077093,0.01220917
0.70970905,0.0052614086,1.0167378,0.076488264,1.007411,0.079879,0.0127175525
0.70970905,0.0052614086,1.0128351,0.07914893,1.002996,0.082603,0.013293244
0.70970905,0.0052614086,1.0089436,0.08169865,0.99858,0.085266,0.013930932
0.70970905,0.0052614086,1.0050548,0.08413267,0.994161,0.087869,0.014630154
0.70970905,0.0052614086,1.0011562,0.086448126,0.989739,0.090414,0.015383087
0.70970905,0.0052614086,0.99723595,0.088644005,0.985312,0.0929,0.016179964
0.70970905,0.0052614086,0.9927807,0.0914141,0.98088,0.095329,0.015815563
0.70970905,0.0052614086,0.98825705,0.0941582,0.976442,0.097703,0.015359871
0.70970905,0.0052614086,0.9838748,0.096841514,0.971996,0.10002,0.015057273
0.70970905,0.0052614086,0.9796042,0.09945592,0.967541,0.102284,0.014891282
0.70970905,0.0052614086,0.9753509,0.10194962,0.963077,0.104493,0.01481729
0.70970905,0.0052614086,0.9711086,0.10433042,0.958601,0.10665,0.014827199
0.70970905,0.0052614086,0.9668719,0.10660616,0.954114,0.108755,0.014906734
0.70970905,0.0052614086,0.9626332,0.10878458,0.949612,0.110808,0.015044592
0.70970905,0.0052614086,0.9583867,0.11087337,0.945095,0.112811,0.015229344
0.70970905,0.0052614086,0.95412946,0.112879775,0.940561,0.114764,0.015452683
0.70970905,0.0052614086,0.9498519,0.114810765,0.936009,0.116668,0.015700117
0.70970905,0.0052614086,0.94555074,0.11667283,0.931436,0.118524,0.015965909
0.70970905,0.0052614086,0.9412194,0.11847465,0.926841,0.120332,0.016235724
0.70970905,0.0052614086,0.93685144,0.12022454,0.922221,0.122093,0.016498893
0.70970905,0.0052614086,0.93244314,0.12192764,0.917574,0.123808,0.016749509
0.70970905,0.0052614086,0.92798537,0.1235885,0.912898,0.125476,0.016974866
0.70970905,0.0052614086,0.9234674,0.12520981,0.90819,0.1271,0.017167583
0.70970905,0.0052614086,0.9188558,0.12678368,0.903447,0.128679,0.017304137
0.70970905,0.0052614086,0.91412365,0.12830305,0.898666,0.130215,0.017369583
0.70970905,0.0052614086,0.90926874,0.12977073,0.893843,0.131706,0.017361015
