Problem,Folder,Final Error 1,Final Error 2,Hidden Layers,Pinn Info,Batch Size,total_neurons,shape
Bp,simulation79,0.007464965805411339,0.9479158520698547,"[['ReLU', 16], ['ReLU', 32], ['ELU', 64]]",False,traininig_data/treino_s/,112,funnel
Bp,simulation104,0.009393186308443546,0.931308388710022,"[['LeakyReLU', 16], ['Sigmoid', 16], ['Sigmoid', 16]]",False,traininig_data/treino_s/,48,rectangle
Bp,simulation71,0.008049468509852886,0.8796424865722656,"[['LeakyReLU', 16], ['Tanh', 32], ['ELU', 64]]",False,traininig_data/treino_s/,112,funnel
Bp,simulation109,0.005747808143496513,0.9228100776672363,"[['ReLU', 32], ['ReLU', 32], ['LeakyReLU', 32]]",False,traininig_data/treino_s/,96,rectangle
Bp,simulation137,0.4616948962211609,1.537337303161621,"[['SiLU', 64], ['Sigmoid', 64], ['Sigmoid', 64]]",False,traininig_data/treino_s/,192,rectangle
Bp,simulation95,0.004696610849350691,0.9020148515701294,"[['ELU', 16], ['Sigmoid', 32], ['Tanh', 64]]",False,traininig_data/treino_s/,112,funnel
Bp,simulation113,0.004810196813195944,0.8673774003982544,"[['ELU', 64], ['SiLU', 64], ['Sigmoid', 64]]",False,traininig_data/treino_s/,192,rectangle
Bp,simulation136,0.00587183004245162,0.8596071600914001,"[['Sigmoid', 64], ['Tanh', 64], ['Sigmoid', 64]]",False,traininig_data/treino_s/,192,rectangle
Bp,simulation9,0.004513220861554146,0.8231097459793091,"[['SiLU', 64], ['Tanh', 64], ['Tanh', 128]]",False,traininig_data/treino_s/,256,funnel
Bp,simulation132,0.005074727814644575,0.9066888093948364,"[['ELU', 64], ['Tanh', 64], ['Tanh', 64]]",False,traininig_data/treino_s/,192,rectangle
Bp,simulation135,0.017364243045449257,0.965191125869751,"[['Sigmoid', 32], ['ELU', 32], ['ELU', 32]]",False,traininig_data/treino_s/,96,rectangle
