u,w,up,wp,ut,wt
0.51197803,0.0067255124,0.8453958,0.03072267,0.511978,0.006726
0.51197803,0.0067255124,0.881016,0.034403514,0.623541,0.008844
0.51197803,0.0067255124,0.9142938,0.03796736,0.753744,0.01141
0.51197803,0.0067255124,0.9451245,0.04140941,0.882341,0.014458
0.51197803,0.0067255124,0.9733685,0.04472499,0.979837,0.017921
0.51197803,0.0067255124,0.9988887,0.047907867,1.034992,0.021639
0.51197803,0.0067255124,1.021566,0.050953485,1.059147,0.025456
0.51197803,0.0067255124,1.0412556,0.053856753,1.067078,0.029276
0.51197803,0.0067255124,1.0577987,0.056611378,1.067781,0.033051
0.51197803,0.0067255124,1.0710572,0.059213277,1.065461,0.036763
0.51197803,0.0067255124,1.0808407,0.06165554,1.0619,0.040404
0.51197803,0.0067255124,1.0869914,0.063933045,1.05783,0.043972
0.51197803,0.0067255124,1.0893275,0.066040784,1.05355,0.047467
0.51197803,0.0067255124,1.0876493,0.06797302,1.049184,0.050889
0.51197803,0.0067255124,1.083089,0.06977646,1.044784,0.05424
0.51197803,0.0067255124,1.0784369,0.07157781,1.040371,0.057519
0.51197803,0.0067255124,1.0737791,0.07338204,1.035955,0.060729
0.51197803,0.0067255124,1.069118,0.07518821,1.031538,0.063871
0.51197803,0.0067255124,1.0644703,0.07699725,1.027122,0.066945
0.51197803,0.0067255124,1.0598036,0.078808844,1.022708,0.069953
0.51197803,0.0067255124,1.0551473,0.08062214,1.018294,0.072895
0.51197803,0.0067255124,1.050482,0.08243765,1.013881,0.075773
0.51197803,0.0067255124,1.0458097,0.08425512,1.009468,0.078588
0.51197803,0.0067255124,1.041152,0.08607466,1.005054,0.081341
0.51197803,0.0067255124,1.0364816,0.08789606,1.000639,0.084032
0.51197803,0.0067255124,1.0318207,0.08971888,0.996222,0.086663
0.51197803,0.0067255124,1.0271405,0.09154304,0.991801,0.089235
0.51197803,0.0067255124,1.0224693,0.09336836,0.987377,0.091748
0.51197803,0.0067255124,1.0177944,0.09519503,0.982947,0.094204
0.51197803,0.0067255124,1.0131068,0.09702222,0.978512,0.096603
0.51197803,0.0067255124,1.0084285,0.09885048,0.974069,0.098947
0.51197803,0.0067255124,1.0037467,0.10067937,0.969619,0.101235
0.51197803,0.0067255124,0.9990526,0.10250771,0.965159,0.10347
0.51197803,0.0067255124,0.9943573,0.1043362,0.960689,0.105651
0.51197803,0.0067255124,0.989661,0.1061641,0.956207,0.10778
0.51197803,0.0067255124,0.98495466,0.10799077,0.951712,0.109857
0.51197803,0.0067255124,0.98024094,0.10981601,0.947203,0.111883
0.51197803,0.0067255124,0.97552663,0.11163986,0.942677,0.11386
0.51197803,0.0067255124,0.9708109,0.11346151,0.938134,0.115787
0.51197803,0.0067255124,0.96608216,0.11528018,0.933571,0.117665
0.51197803,0.0067255124,0.96135014,0.11709534,0.928986,0.119495
0.51197803,0.0067255124,0.9565987,0.118906304,0.924378,0.121278
0.51197803,0.0067255124,0.95185375,0.12071195,0.919744,0.123014
0.51197803,0.0067255124,0.9470826,0.12251186,0.915082,0.124704
0.51197803,0.0067255124,0.94231224,0.12430504,0.910389,0.126349
0.51197803,0.0067255124,0.9375273,0.12609057,0.905663,0.127949
0.51197803,0.0067255124,0.9327255,0.12786666,0.9009,0.129504
0.51197803,0.0067255124,0.9279033,0.12963219,0.896097,0.131016
0.51197803,0.0067255124,0.9230791,0.13138619,0.891251,0.132485
0.51197803,0.0067255124,0.9182227,0.13312641,0.886357,0.133911
0.51197803,0.0067255124,0.91334796,0.1348508,0.881412,0.135295
0.51197803,0.0067255124,0.9084464,0.13655776,0.87641,0.136637
0.51197803,0.0067255124,0.90351784,0.13824508,0.871347,0.137938
0.51197803,0.0067255124,0.8985538,0.13990986,0.866216,0.139198
0.51197803,0.0067255124,0.89354193,0.14154935,0.861011,0.140418
0.51197803,0.0067255124,0.8884814,0.14315993,0.855725,0.141597
0.51197803,0.0067255124,0.8833747,0.14473847,0.85035,0.142737
0.51197803,0.0067255124,0.87818515,0.1462805,0.844877,0.143836
0.51197803,0.0067255124,0.8729173,0.14778167,0.839296,0.144897
0.51197803,0.0067255124,0.86755997,0.14923733,0.833594,0.145918
0.51197803,0.0067255124,0.86207557,0.15064165,0.82776,0.1469
0.51197803,0.0067255124,0.8564347,0.15198785,0.821778,0.147843
0.51197803,0.0067255124,0.85061884,0.15326989,0.81563,0.148747
0.51197803,0.0067255124,0.84457016,0.15447932,0.809297,0.149612
0.51197803,0.0067255124,0.8382364,0.15560794,0.802756,0.150438
0.51197803,0.0067255124,0.8315385,0.1566456,0.795979,0.151224
0.51197803,0.0067255124,0.8243742,0.15758196,0.788934,0.15197
0.51197803,0.0067255124,0.8166168,0.1584056,0.781583,0.152676
0.51197803,0.0067255124,0.8082429,0.15917048,0.773881,0.153341
0.51197803,0.0067255124,0.79930544,0.1599395,0.765772,0.153964
0.51197803,0.0067255124,0.78973764,0.16071337,0.757188,0.154545
0.51197803,0.0067255124,0.7794709,0.16149229,0.748049,0.15508
0.51197803,0.0067255124,0.76839995,0.16227597,0.73825,0.15557
0.51197803,0.0067255124,0.7564522,0.16306588,0.727664,0.156012
0.51197803,0.0067255124,0.74351865,0.16386226,0.716126,0.156403
0.51197803,0.0067255124,0.7294781,0.16466525,0.703424,0.15674
0.51197803,0.0067255124,0.71420133,0.16547576,0.689284,0.157019
0.51197803,0.0067255124,0.69754624,0.1662944,0.67334,0.157234
0.51197803,0.0067255124,0.67934453,0.1671221,0.6551,0.157379
0.51197803,0.0067255124,0.6594143,0.16795981,0.633896,0.157444
0.51197803,0.0067255124,0.6375549,0.16880852,0.608804,0.157416
0.51197803,0.0067255124,0.61353445,0.16966927,0.578538,0.157281
0.51197803,0.0067255124,0.5871002,0.17054334,0.541311,0.157016
0.51197803,0.0067255124,0.55796075,0.17143223,0.494694,0.156592
0.51197803,0.0067255124,0.52578866,0.17233723,0.435616,0.155968
0.51197803,0.0067255124,0.49024326,0.17326048,0.360924,0.155092
0.51197803,0.0067255124,0.39975935,0.17005095,0.26943,0.153903
0.51197803,0.0067255124,0.2069217,0.1577828,0.166205,0.152345
0.51197803,0.0067255124,0.10987455,0.15124634,0.066007,0.150401
0.51197803,0.0067255124,0.04299438,0.14595354,-0.012875,0.148123
0.51197803,0.0067255124,-0.0018008947,0.14170906,-0.062514,0.145621
0.51197803,0.0067255124,-0.030815959,0.13828477,-0.088169,0.143007
0.51197803,0.0067255124,-0.048913598,0.13546276,-0.099175,0.140362
0.51197803,0.0067255124,-0.05961585,0.13306564,-0.102551,0.137731
