Problem,Folder,Final Error 1,Final Error 2,Hidden Layers,Pinn Info,Batch Size,total_neurons,shape
Bp,simulation9,0.0012118025915697217,0.7698813080787659,"[['SiLU', 64], ['Tanh', 64], ['Tanh', 128]]",True,256,256,funnel
Bp,simulation5,0.0012582548661157489,0.7216822504997253,"[['SiLU', 16], ['Tanh', 32], ['ELU', 64]]",True,256,112,funnel
Bp,simulation4,0.0009980166796594858,0.7527825236320496,"[['LeakyReLU', 16], ['Tanh', 16], ['LeakyReLU', 32]]",True,256,64,funnel
Bp,simulation24,0.001078752800822258,0.7250872850418091,"[['ELU', 16], ['ReLU', 16], ['LeakyReLU', 128]]",True,256,160,funnel
Bp,simulation8,0.0009670662111602724,0.6204184889793396,"[['LeakyReLU', 16], ['Tanh', 32], ['ReLU', 64]]",True,256,112,funnel
Bp,simulation2,0.00045541199506260455,0.4569305181503296,"[['ELU', 16], ['Sigmoid', 64], ['Sigmoid', 64]]",True,256,144,funnel
Bp,simulation19,0.000544841168448329,0.5425246953964233,"[['ELU', 32], ['Tanh', 32], ['ReLU', 64]]",True,256,128,funnel
Bp,simulation18,0.0009966247016564012,0.7571578621864319,"[['ELU', 32], ['ReLU', 32], ['Sigmoid', 64]]",True,256,128,funnel
Bp,simulation28,,,"[['Tanh', 16], ['SiLU', 32], ['ReLU', 64]]",True,256,112,funnel
Bp,simulation15,0.0006640563369728625,0.7957603335380554,"[['Sigmoid', 32], ['Tanh', 64], ['ReLU', 64]]",True,256,160,funnel
Bp,simulation12,0.0010911222780123353,0.8637827634811401,"[['ELU', 32], ['LeakyReLU', 32], ['LeakyReLU', 128]]",True,256,192,funnel
Bp,simulation23,0.000516374537255615,0.6407957673072815,"[['ELU', 32], ['Sigmoid', 64], ['SiLU', 128]]",True,256,224,funnel
Bp,simulation20,0.001377816777676344,0.7940302491188049,"[['Tanh', 16], ['ReLU', 16], ['ELU', 64]]",True,256,96,funnel
Bp,simulation11,0.00039453592034988105,0.6556763648986816,"[['LeakyReLU', 32], ['Sigmoid', 64], ['ReLU', 128]]",True,256,224,funnel
Bp,simulation10,0.0017465539276599884,0.5625177621841431,"[['ELU', 32], ['ELU', 32], ['Tanh', 64]]",True,256,128,funnel
Bp,simulation0,0.0005200508167035878,0.5922799110412598,"[['ELU', 32], ['SiLU', 64], ['ReLU', 64]]",True,256,160,funnel
