Problem,Folder,Final Error 1,Final Error 2,Hidden Layers,Pinn Info,Batch Size,Inf speed,total_neurons,shape
A,simulation561,0.0035012674052268267,0.025985360145568848,"[['ELU', 16], ['ELU', 32]]",False,N/A,-1.0,48,funnel
A,simulation571,0.0018345104763284326,0.03744123876094818,"[['Sigmoid', 16], ['ELU', 128]]",False,N/A,-1.0,144,funnel
A,simulation252,0.0032999999821186066,0.009648770093917847,"[['SiLU', 32], ['ReLU', 32], ['Tanh', 16]]",False,N/A,-1.0,80,bottleneck
A,simulation264,0.000946144456975162,0.030473768711090088,"[['ReLU', 128], ['ReLU', 64], ['LeakyReLU', 16]]",False,N/A,-1.0,208,bottleneck
A,simulation586,0.0009643829544074833,0.011572539806365967,"[['Sigmoid', 32], ['Sigmoid', 128]]",False,N/A,-1.0,160,funnel
A,simulation588,0.000693305570166558,0.03706776350736618,"[['LeakyReLU', 32], ['SiLU', 128]]",False,N/A,-1.0,160,funnel
A,simulation79,0.0011207415955141187,0.025725126266479492,"[['ReLU', 16], ['ReLU', 32], ['ELU', 64]]",False,N/A,-1.0,112,funnel
A,simulation430,0.002583382884040475,0.005033016204833984,"[['SiLU', 32], ['Tanh', 64], ['Tanh', 16]]",False,N/A,-1.0,112,diamond
A,simulation562,0.001203993335366249,0.03824377804994583,"[['Tanh', 32], ['ReLU', 128]]",False,N/A,-1.0,160,funnel
A,simulation217,0.00044559332309290767,0.014785349369049072,"[['ELU', 128], ['ELU', 32], ['SiLU', 32]]",False,N/A,-1.0,192,bottleneck
A,simulation760,0.001264941762201488,0.021619942039251328,"[['Sigmoid', 32], ['ReLU', 16]]",False,N/A,-1.0,48,bottleneck
A,simulation206,0.0008506006561219692,0.02833247184753418,"[['Tanh', 128], ['Tanh', 32], ['Sigmoid', 32]]",False,N/A,-1.0,192,bottleneck
A,simulation719,0.0006906538619659841,0.01934761181473732,"[['ReLU', 64], ['LeakyReLU', 16]]",False,N/A,-1.0,80,bottleneck
A,simulation104,0.0005918233073316514,0.0226781964302063,"[['LeakyReLU', 16], ['Sigmoid', 16], ['Sigmoid', 16]]",False,N/A,-1.0,48,rectangle
A,simulation71,0.0006759207462891936,0.008348464965820312,"[['LeakyReLU', 16], ['Tanh', 32], ['ELU', 64]]",False,N/A,-1.0,112,funnel
A,simulation583,0.001991268713027239,0.035138338804244995,"[['LeakyReLU', 16], ['Sigmoid', 64]]",False,N/A,-1.0,80,funnel
A,simulation646,0.0015213184524327517,0.0244520902633667,"[['SiLU', 32], ['ReLU', 32]]",False,N/A,-1.0,64,rectangle
A,simulation405,0.0009805846493691206,0.02120041847229004,"[['Sigmoid', 32], ['SiLU', 64], ['LeakyReLU', 32]]",False,N/A,-1.0,128,diamond
A,simulation412,0.0009693898027762771,0.019679158926010132,"[['ReLU', 32], ['ReLU', 128], ['ReLU', 32]]",False,N/A,-1.0,192,diamond
A,simulation211,0.0009662645170465112,0.02306143194437027,"[['SiLU', 64], ['Sigmoid', 64], ['LeakyReLU', 16]]",False,N/A,-1.0,144,bottleneck
A,simulation610,0.0013938924530521035,0.03813570737838745,"[['LeakyReLU', 32], ['LeakyReLU', 32]]",False,N/A,-1.0,64,rectangle
A,simulation692,0.0027645055670291185,0.04494473338127136,"[['Tanh', 128], ['Sigmoid', 128]]",False,N/A,-1.0,256,rectangle
A,simulation710,0.001566764316521585,0.03537315875291824,"[['ReLU', 64], ['ELU', 32]]",False,N/A,-1.0,96,bottleneck
A,simulation178,0.0015530361561104655,0.009542524814605713,"[['LeakyReLU', 16], ['ELU', 16], ['Tanh', 16]]",False,N/A,-1.0,48,rectangle
A,simulation401,0.0008044910500757396,0.008142903447151184,"[['SiLU', 32], ['Tanh', 128], ['ReLU', 32]]",False,N/A,-1.0,192,diamond
A,simulation696,0.0013481403002515435,0.04393007606267929,"[['Sigmoid', 128], ['ELU', 128]]",False,N/A,-1.0,256,rectangle
A,simulation109,0.0007331756060011685,0.017705533653497696,"[['ReLU', 32], ['ReLU', 32], ['LeakyReLU', 32]]",False,N/A,-1.0,96,rectangle
A,simulation524,0.0015643893275409937,0.010722160339355469,"[['Sigmoid', 32], ['Tanh', 128]]",False,N/A,-1.0,160,funnel
A,simulation739,0.0026618228293955326,0.046666085720062256,"[['Sigmoid', 64], ['ReLU', 16]]",False,N/A,-1.0,80,bottleneck
A,simulation743,0.0013520499924197793,0.01971450448036194,"[['Tanh', 128], ['SiLU', 16]]",False,N/A,-1.0,144,bottleneck
A,simulation377,0.00041314581176266074,0.011578630656003952,"[['Sigmoid', 32], ['Sigmoid', 16], ['ELU', 128]]",False,N/A,-1.0,176,bowtie
A,simulation408,0.001050657476298511,0.02081829309463501,"[['ELU', 32], ['Sigmoid', 64], ['ReLU', 32]]",False,N/A,-1.0,128,diamond
